Id,SMILES,mu
train_73,[H]OC([H])([H])C1=C(N([H])C([H])([H])[H])N([H])N=N1,4.7871
train_74,[H]C(=O)OC([H])([H])C([H])(C([H])=O)C([H])=O,1.9733
train_75,[H]C#CC([H])([H])OC(=O)N([H])C([H])=O,4.605
train_76,[H]O[C@]1([H])C(=O)N([H])C(=O)[C@]1([H])O[H],1.2684
train_77,[H]C(=O)C([H])([H])C([H])([H])OC([H])([H])C1([H])C([H])([H])C1([H])[H],2.9522
train_78,[H][N-][C@@H]1N([H])C(=O)C(=O)N([H])C1([H])[H],3.9065
train_79,[H]OC([H])([H])C1=C(N([H])[H])N([H])N=C1N([H])[H],2.7627
train_80,[H]C([H])([H])C(=O)[C@]12C([H])([H])[N@H+](C1([H])[H])[C@]2([H])C([H])([H])[H],2.4598
train_81,[H]N1C([H])([H])[C@]12C([H])([H])OC([H])([H])[C@@]1([H])C([H])([H])[C@]12[H],2.7161
train_82,[H]O[C@@]12C([H])([H])C(=O)[C@]1(C([H])([H])[H])N([H])C2([H])[H],3.0281
train_83,[H]C([H])([H])C1(C([H])([H])[H])[N@@H+]2C([H])([H])[C@@]3(C([H])([H])[H])[C@]2([H])[C@@]13[H],1.6918
train_84,[H]OC([H])([H])[C@@]1(C([H])([H])[H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H],2.6885
train_85,[H]C1=C([H])[C@]2(C([H])([H])C1([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]12[H],0.2096
train_86,[H]N([H])C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[H],3.5809
train_87,[H]C1([H])C([H])([H])[C@]2(C#N)[C@@]3([H])C([H])([H])[C@]2([H])[C@@]13[H],4.3009
train_88,[H]O[C@@]1([H])C([H])([H])[C@@]12C([H])([H])C([H])([H])[C@]21OC1([H])[H],1.2855
train_89,[H]OC([H])([H])[C@@]12[C@@]3([H])O[C@]1([H])C([H])([H])[C@]32C([H])([H])[H],2.0471
train_90,[H]O[C@]1([H])[C@]2([H])N([H])[C@@]1([H])[C@]1([H])O[C@]21[H],2.9538
train_91,[H]N([H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1.9822
train_92,[H][N-]C1O[C@@]([H])(C(F)(F)F)C1([H])[H],1.7917
train_93,[H]O[C@@]1([H])C([H])([H])[C@@]2([H])[N@H+]3C([H])([H])[C@]1([H])C([H])([H])[C@]32[H],0.6633
train_94,[H]OC1=C(N([H])[H])N=C(C([H])=O)N1[H],4.8618
train_95,[H]OC([H])([H])[C@@]1([H])[C@@]2([H])[C@@]3([H])[C@@]4([H])[C@]1([H])[C@]2([H])[C@]43[H],1.7504
train_96,[H][N-]C1N([H])C(=O)O[C@]1([H])C([H])([H])[H],2.3469
train_97,[H]C([H])([H])[C@@]1([H])C([H])([H])OC(=O)C([H])([H])[C@@]1([H])C([H])([H])[H],4.6518
train_98,[H]C#CC([H])([H])[C@]1([H])N([H])[C@]1([H])C([H])=O,2.7013
train_99,[H]C#C[C@@]12C([H])([H])N([H])[C@]1(C#N)C2([H])[H],3.5157
train_100,[H]C([H])([H])[C@]12C([H])([H])[C@]3(C([H])([H])[H])[C@@]1([H])C([H])([H])[C@]23C([H])([H])[H],0.1814
train_101,[H]C#CC([H])([H])C(=O)[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])[H],2.2318
train_102,[H][N-][C@H]1N([H])[C@]2(C#N)C([H])([H])[C@]12N([H])[H],4.0362
train_103,[H]C1=C([H])C([H])([H])OC(=O)OC1([H])[H],5.6552
train_104,[H]N(C(=O)C([H])([H])[C@]([H])(C#N)C([H])([H])[H])C([H])([H])[H],5.1317
train_105,[H]C([H])([H])[N@H+]1[C@@]2([H])C([H])([H])C3(C([H])([H])C3([H])[H])[C@@]12C([H])([H])[H],0.9628
train_106,[H]C(=O)C1=C([H])N2C(=C1[H])C([H])([H])C2([H])[H],5.4947
train_107,[H]N([H])C1=NOC2=C1C([H])([H])OC2([H])[H],2.5518
train_108,[H]OC([H])([H])[C@@]1([H])N([H])[C@@]1([H])C#N,4.2226
train_109,[H][N-]C1O[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])[H],3.1047
train_110,[H]N1C(=O)C2(C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],3.7073
train_111,[H]C(=O)C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],5.4028
train_112,[H]C1=C([H])C([H])([H])C2(C([H])([H])C([H])=C1[H])C([H])([H])C2([H])[H],0.4802
train_113,[H]C1=C([H])C2=C(O1)[C@]1([H])O[C@@]2([H])C1([H])[H],1.7283
train_114,[H]OC1=NOC(C([H])([H])C([H])([H])O[H])=N1,2.8892
train_115,[H]C([H])([H])C([H])([H])C1=NC([H])([H])C([H])([H])C(=O)O1,1.996
train_116,[H]O[C@]12C([H])([H])[C@@]1(C([H])([H])C([H])([H])[H])[C@]([H])(C([H])([H])[H])C2([H])[H],0.9938
train_117,[H]C([H])([H])O[C@@]1([H])C([H])([H])[C@@]2([H])C(=O)[C@]1([H])C2([H])[H],3.8062
train_118,[H]C1=C2C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])C1=O,4.1205
train_119,[H]C([H])([H])C([H])([H])[C@@]1([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[H],0.0243
train_120,[H][N-]C1OC(N([H])[H])=C([H])OC1=O,5.3747
train_121,[H]O[C@]([H])(C([H])([H])[H])[C@]1([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])O[H],2.3746
train_122,[H]C1=C([H])C([H])=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])O1,0.4029
train_123,[H]C1([H])OC2=N/N(C([H])([H])[H])/N=C\2O1,0.817
train_124,[H]O[C@@]12[C@@]3(C([H])([H])[H])C(=O)[C@]1([H])[C@]2([H])C3([H])[H],2.2339
train_125,[H]C1=C(C([H])([H])C([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H],0.2434
train_126,[H]C#C[C@]1([H])C([H])([H])[C@@]2([H])[C@@]([H])(C([H])([H])[H])[C@@]2([H])C1([H])[H],0.8611
train_127,[H]O[C@]1([H])C(=O)O[C@]([H])(C([H])([H])[H])C([H])=C1[H],3.9075
train_128,[H]C([H])([H])OC([H])([H])[C@]1([H])O[C@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H],1.1513
train_129,[H]C([H])([H])[C@]1([H])O[C@]23C([H])([H])[N@H+](C2([H])[H])[C@]3([H])C1([H])[H],1.4497
train_130,[H]C#C[C@]12O[C@@]1([H])[C@@]1([H])C([H])([H])O[C@]12[H],2.8209
train_131,[H]C1([H])O[C@@]2([H])C([H])([H])[N@H+]3C([H])([H])[C@@]3([H])C([H])([H])[C@@]12[H],2.2277
train_132,[H]O[C@@]12C([H])([H])[C@@]3([H])C([H])([H])[C@]1([H])[C@]2([H])[C@]3([H])C([H])([H])[H],1.2952
train_133,[H]OC([H])([H])[C@]([H])(C([H])([H])[H])[C@]1([H])N([H])C(=O)C1([H])[H],4.1864
train_134,[H][C@@]12OC(=O)[C@@]3([H])[C@]1([H])[C@]1([H])[C@@]3([H])[C@]21[H],4.5771
train_135,[H]C1=C([H])N([H])C(C([H])([H])C#N)=C1[H],2.466
train_136,[H]C1=C([H])[C@@]2([H])[C@@]([H])(C#N)N([H])[C@@]2([H])C1([H])[H],4.724
train_137,[H]OC([H])([H])[C@]12O[C@@]1([H])[C@@]([H])(O[H])C2=O,1.9295
train_138,[H]OC([H])([H])[C@]1(C#N)C([H])([H])[C@]1([H])OC([H])([H])[H],2.9049
train_139,[H]ONC1C([H])([H])C([H])=C([H])[C@@]2([H])C([H])([H])[C@@]12[H],0.7545
train_140,[H]C1=C([H])C(=O)N([H])C(C([H])([H])C([H])([H])[H])=N1,3.0129
train_141,[H]O[C@]1(C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],2.0243
train_142,[H]O[C@]12C([H])([H])[C@@]1(C([H])([H])C([H])([H])[H])C([H])([H])[C@]2([H])C([H])([H])[H],1.0619
train_143,[H]O[C@]12C([H])([H])[C@](C(=O)C([H])([H])[H])(C1([H])[H])C2([H])[H],2.0015
train_144,[H]ONC1C(=O)[C@]2([H])O[C@@]1([H])C2([H])[H],2.7791
train_145,[H]C#CC([H])([H])C([H])([H])[C@@]1([H])OC(=O)C1([H])[H],3.7426
train_146,[H]C([H])([H])O[C@]1([H])C([H])([H])[C@]2(C([H])([H])C([H])([H])[H])O[C@@]21[H],2.6501
train_147,[H]C1=C([H])C([H])([H])C(=O)C(=O)OC1([H])[H],4.8214
train_148,[H]C1([H])C([H])([H])[C@]12OC([H])([H])[C@@]21C([H])([H])C1([H])[H],1.6515
train_149,[H]C#C[C@@]12N([H])[C@]1([H])C([H])([H])C([H])([H])C2([H])[H],2.2058
train_150,[H]C([H])([H])C([H])(C([H])([H])[H])[C@@]12[C@@]3([H])O[C@]1([H])[C@]2([H])C3([H])[H],1.9385
train_151,[H]O[C@@]1([H])C([H])([H])[C@]2([H])C([H])=C([H])[C@@]1([H])C([H])=C2[H],1.4878
train_152,[H][N-]C1O[C@]2([H])C([H])([H])[C@]2([H])C1(C([H])([H])[H])C([H])([H])[H],2.7272
train_153,[H]C1([H])C(=O)[C@]2(C#N)C([H])([H])O[C@]12[H],3.5074
train_154,[H][N-]C1OC(=O)C([H])([H])C([H])([H])N([H])C1([H])[H],2.83
train_155,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OC1([H])C([H])([H])C1([H])[H],2.0348
train_156,[H]/N=C(\[H])N1C(=O)C([H])([H])[C@]1([H])C([H])([H])[H],5.4083
train_157,[H]OC1=C([H])C(=O)N([H])N=C1N([H])[H],4.4218
train_158,[H]C(=O)[C@@]12O[C@]3([H])[C@@]([H])(N([H])[C@]13[H])C2([H])[H],3.8363
train_159,[H]C([H])([H])[C@@]1([H])[C@@]2([H])[C@@]3([H])O[C@]1([H])O[C@]2([H])C3([H])[H],2.1051
train_160,[H]O[C@]1(C#N)C([H])([H])[C@]1(C([H])=O)C([H])([H])[H],5.0602
train_161,[H]C#CC([H])([H])C#C[C@]([H])(C#N)O[H],3.6075
train_162,[H]C1([H])OC(=O)[C@@]2(OC([H])([H])C2([H])[H])C1([H])[H],4.0963
train_163,[H]C#CC1=C([H])C(C#N)=NO1,5.2161
train_164,[H]OC([H])([H])C1=C([H])[C@]([H])(C([H])=O)C([H])([H])C1([H])[H],4.6084
train_165,[H]C1([H])N=C([C@]2([H])C([H])([H])[C@]2([H])C([H])([H])[H])OC1([H])[H],0.9344
train_166,[H]C1=C(F)C(=O)N([H])C(=O)N1[H],3.7995
train_167,[H]OC([H])([H])C1=C([H])OC(OC([H])([H])[H])=C1[H],1.8855
train_168,[H]C([H])([H])[C@]1([H])OC([H])([H])[C@@]2([H])[C@@]([H])(C([H])([H])[H])O[C@@]12[H],2.0055
train_169,[H]C#CC([H])([H])[C@]12N([H])[C@@]1([H])[C@@]1([H])N([H])[C@]12[H],2.9962
train_170,[H][N-]C1OC([H])([H])[C@@]2([H])[N@H+](C([H])([H])[H])C([H])([H])[C@@]12[H],3.3784
train_171,[H]C1([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]2(C1([H])[H])C([H])([H])[C@]2([H])C([H])([H])[H],0.1551
train_172,[H][N-]C1=C(F)C(C([H])([H])[H])=[N+]([H])N=N1,5.6395
train_173,[H]C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],4.1216
train_174,[H]C1=C2C([H])([H])C([H])([H])[C@]2([H])OC([H])([H])C1([H])[H],1.1692
train_175,[H]N([H])C1=C(C([H])([H])[H])ON=C1C#N,5.6117
train_176,[H]C(=O)OC1=C([H])ON=C1[H],1.0998
train_177,[H]N1[C@@]2([H])C(C([H])([H])C([H])([H])[H])=C(C([H])([H])[H])C([H])([H])[C@@]12[H],1.3321
train_178,[H]C#C[C@]1(C([H])([H])O[H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])[H],1.4536
train_179,[H]N(C([H])([H])[H])[C@@]1(C#N)[C@@]2([H])C([H])([H])O[C@]21[H],2.8158
train_180,[H]OC([H])([H])[C@@]12C([H])([H])[C@@]3(C([H])([H])[H])[C@]1([H])C([H])([H])[C@]32[H],1.1938
train_181,[H]O[C@@]1([H])C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],3.7145
train_182,[H]C([H])([H])[N@H+]1C([H])([H])[C@@]12C([H])([H])[C@@]1([H])O[C@]2([H])C1([H])[H],2.3846
train_183,[H]C(=O)[C@@]12[N@@H+](C1([H])[H])[C@]1([H])C([H])([H])[C@@]2([H])C1([H])[H],3.835
train_184,[H]C1=C(N([H])[H])N=NOC1=O,6.2519
train_185,[H]C1=C2OC([H])([H])C([H])([H])C([H])([H])C2=C([H])O1,2.2375
train_186,[H]N(C([H])([H])[H])[C@@]12C(=O)C([H])([H])O[C@]1([H])C2([H])[H],1.2603
train_187,[H]C1=C([H])[C@@]2(C([H])([H])[H])O[C@]1(C([H])([H])[H])C2=O,2.0538
train_188,[H]C1=C(N([H])[H])N([H])C(=O)C(=O)O1,7.2195
train_189,[H]O[C@@]1(C([H])([H])[H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])[H],3.0971
train_190,[H]C([H])([H])O[C@]1([H])[C@@]2(OC([H])([H])C2([H])[H])[C@]1([H])C([H])([H])[H],1.3893
train_191,[H]C(=O)C(=O)N1C([H])([H])[C@@]2([H])C([H])([H])[C@@]12[H],3.1212
train_192,[H]O[C@]1([H])C([H])([H])[C@]1([H])[C@]1([H])C([H])([H])[C@]1([H])OC([H])([H])[H],2.1166
train_193,[H]N1[C@@]2([H])[C@@]3(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]3([H])[C@@]12C([H])([H])[H],1.7504
train_194,[H][C-]1[C@@H]2C([H])([H])[C@@]3(C([H])([H])[H])[C@]2([H])[N@H+]2[C@]1([H])[C@]23[H],2.1693
train_195,[H]C1=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]12C([H])([H])[C@]2([H])C([H])([H])[H],0.2194
train_196,[H]C#CC([H])([H])[C@@]([H])(C#N)C([H])([H])OC([H])([H])[H],4.5411
train_197,[H]C1([H])C([H])([H])C2(C1([H])[H])[C@]1([H])[C@]3([H])[C@@]2([H])O[C@]13[H],1.7006
train_198,[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H],0.0908
train_199,[H]OC([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@]1(C#N)N([H])[H],3.9231
train_200,[H]C#C[C@@]1(C([H])([H])C(=O)N([H])[H])N([H])C1([H])[H],3.0515
train_201,[H]C([H])([H])O[C@]12[C@@]3([H])[C@]4([H])C([H])([H])[C@@]3([H])[C@@]1([H])[C@@]42[H],1.0722
train_202,[H]C#CC1=C(OC([H])([H])[H])C([H])=C([H])N1[H],1.957
train_203,[H]C1=C(C(=O)N([H])[H])C(N([H])[H])=C([H])N1[H],4.299
train_204,[H]O[C@]1([H])C2(C([H])([H])C2([H])[H])[C@]([H])(O[H])[C@]1([H])C([H])([H])[H],1.0352
train_205,[H]OC(C([H])([H])[H])(C([H])([H])[H])[C@@]1([H])C([H])([H])[C@@]2([H])N([H])[C@@]12[H],3.4282
train_206,[H]OC([H])([H])C1(OC([H])([H])[H])C([H])([H])[NH+](C([H])([H])[H])C1([H])[H],1.7456
train_207,[H]C([H])([H])C([H])([H])[N@@H+]1[C@]([H])(C#N)[C@]1([H])C#N,4.5374
train_208,[H]O[C@]12C([H])([H])[C@@]1([H])OC([H])([H])[C@]21N([H])C1([H])[H],1.2043
train_209,[H]C(=O)[C@]12[C@H]([NH2+]C([H])([H])[H])O[C@@]1([H])C2([H])[H],1.9842
train_210,[H]C([H])([H])[C@]12O[C@](C#N)(C([H])([H])C1([H])[H])C2([H])[H],4.8981
train_211,[H]/N=C(\[H])N1C(=O)OC([H])([H])C([H])([H])C1([H])[H],3.355
train_212,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[C@@]1([H])O[C@@]1([H])C([H])([H])[H],1.6057
train_213,[H]O[C@]12C([H])([H])[N@@H+]3[C@@]1([H])C(=O)C([H])([H])[C@@]32[H],3.196
train_214,[H]C1=C(C([H])([H])[H])C(C([H])([H])OC([H])([H])[H])=NO1,3.0227
train_215,[H]O[C@]1(C([H])([H])C([H])([H])[H])[C@@]2([H])OC([H])([H])O[C@]21[H],1.1756
train_216,[H]OC([H])([H])[C@]1([H])[N@H+](C2([H])C([H])([H])OC2([H])[H])C1([H])[H],3.634
train_217,[H]C#C[C@]1(O[H])C([NH2+]C([H])([H])[H])OC1([H])[H],0.9268
train_218,[H]O[C@]1([H])C([H])([H])C([H])=C([H])C(=O)C([H])([H])C1([H])[H],3.7662
train_219,[H]O[C@@]1([H])[C@]([H])(C([H])=O)C([H])([H])[C@]12OC2([H])[H],2.4671
train_220,[H]N1[C@]([H])(C#N)[C@@]2([H])[C@]3([H])C([H])([H])[C@@]2([H])[C@]13[H],4.8773
train_221,[H]C#CC1=NOC(C([H])([H])N([H])[H])=N1,2.3852
train_222,[H]C1([H])C([H])([H])[C@@]2([H])[N@H+]3[C@]1([H])[C@]1(OC1([H])[H])[C@]32[H],2.9662
train_223,[H]C1([H])[N@@H+]2[C@]3([H])[C@@]4([H])O[C@]([H])([C@@]4([H])C1([H])[H])[C@]23[H],1.7461
train_224,[H]C([H])([H])[C@]12O[C@]3([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]1([H])[C@]23[H],1.512
train_225,[H]O[C@@]([H])(C([H])=O)[C@]1([H])O[C@@]([H])(C([H])([H])[H])C1([H])[H],2.5163
train_226,[H]N1C(=O)OC([H])([H])OC([H])([H])C1([H])[H],4.3098
train_227,[H]C1=C([H])N([H])N=C1C#N,6.3841
train_228,[H][N-]C(O[C@]1([H])[C@@]2([H])C([H])([H])[C@]1([H])C2([H])[H])C([H])([H])[H],1.2416
train_229,[H]OC([H])([H])C#CC([H])([H])[C@@]([H])(O[H])C([H])=O,2.2201
train_230,[H]C1=C([H])C2=C(C([H])=C1[H])C([H])([H])C([H])([H])O2,1.4899
train_231,[H]N([H])C(=O)N([H])[H],3.4869
train_232,[H]C#C[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(C#N)C1([H])[H],3.7574
train_233,[H]C#CC([H])([H])[C@]1([H])O[C@]([H])(C([H])([H])[H])C1=O,0.8235
train_234,[H]C1([H])[NH2+][C@@H]2O[C@]([H])(C([H])([H])[H])[C@]2([H])OC1([H])[H],2.4071
train_235,[H]/C1=C2\ON=N\C2=N\O1,2.443
train_236,[H]O[C@@]1([H])C(=O)C([H])([H])C([H])([H])C12C([H])([H])C2([H])[H],2.559
train_237,[H]C(=O)OC([H])([H])C(F)(F)F,3.3312
train_238,[H]OC([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=NN1[H],3.7117
